                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.35633,                  0.479,                0.03975,                0.95917,                0.94926,                0.95425,                0.75899,                0.24591,                0.36279,                0.03192,             5.1844e-05,             5.1844e-05,             5.1844e-05
                     35,                0.35412,                0.48137,                 0.0394,                0.95777,                0.95486,                0.95864,                0.76301,                0.24755,                0.36085,                 0.0323,             5.1082e-05,             5.1082e-05,             5.1082e-05
                     36,                0.34953,                0.47282,                0.03829,                0.96322,                0.95158,                0.95868,                 0.7617,                0.24747,                0.35942,                0.03218,             5.0319e-05,             5.0319e-05,             5.0319e-05
                     37,                0.35229,                0.47429,                0.03911,                0.95959,                0.95318,                  0.958,                0.76323,                 0.2474,                 0.3594,                0.03212,             4.9557e-05,             4.9557e-05,             4.9557e-05
                     38,                0.34922,                0.46844,                0.03916,                0.95898,                0.95229,                0.95933,                0.76416,                0.24485,                0.36152,                0.03181,             4.8795e-05,             4.8795e-05,             4.8795e-05
                     39,                0.34644,                0.46442,                0.03865,                0.96425,                0.95459,                0.96064,                0.76303,                0.24746,                0.35491,                0.03103,             4.8033e-05,             4.8033e-05,             4.8033e-05
                     40,                0.34372,                0.46171,                0.03771,                0.96178,                0.95493,                0.95809,                0.76473,                0.24666,                0.35584,                0.03115,              4.727e-05,              4.727e-05,              4.727e-05
                     41,                0.34583,                0.45656,                0.03897,                 0.9659,                0.95325,                0.96037,                0.76353,                0.24836,                0.35589,                0.03148,             4.6508e-05,             4.6508e-05,             4.6508e-05
                     42,                0.34361,                0.46108,                0.03767,                0.96856,                0.95924,                0.96499,                0.77203,                0.24457,                0.34852,                0.03067,             4.5746e-05,             4.5746e-05,             4.5746e-05
                     43,                0.33864,                0.44745,                0.03739,                0.97153,                0.95419,                0.96196,                0.76829,                0.24647,                0.34958,                0.03071,             4.4983e-05,             4.4983e-05,             4.4983e-05
                     44,                0.33976,                0.45243,                0.03731,                0.97559,                0.95779,                0.96487,                0.77127,                0.24407,                0.35173,                0.03044,             4.4221e-05,             4.4221e-05,             4.4221e-05
                     45,                0.34465,                0.45044,                0.03839,                0.97395,                0.95848,                0.96598,                0.77082,                0.24375,                0.34677,                0.03101,             4.3459e-05,             4.3459e-05,             4.3459e-05
                     46,                0.34364,                0.45018,                0.03762,                0.97317,                0.96357,                0.96901,                0.77606,                0.24277,                 0.3426,                0.03048,             4.2697e-05,             4.2697e-05,             4.2697e-05
                     47,                0.33857,                 0.4428,                0.03683,                0.96821,                0.95895,                0.96509,                0.77206,                0.24406,                0.34991,                0.03147,             4.1934e-05,             4.1934e-05,             4.1934e-05
                     48,                0.33976,                0.44177,                0.03758,                0.97421,                0.95308,                0.96326,                0.77063,                0.24238,                0.34912,                0.03015,             4.1172e-05,             4.1172e-05,             4.1172e-05
                     49,                0.33605,                0.43908,                0.03704,                0.97394,                0.95743,                0.96472,                0.77468,                0.24149,                 0.3462,                0.03067,              4.041e-05,              4.041e-05,              4.041e-05
                     50,                0.33567,                0.43697,                0.03667,                0.97418,                0.95708,                 0.9656,                0.77457,                0.24353,                0.34692,                0.03145,             3.9647e-05,             3.9647e-05,             3.9647e-05
                     51,                0.33687,                0.43981,                 0.0367,                0.97653,                0.95858,                0.96639,                 0.7764,                0.24112,                0.34075,                0.03078,             3.8885e-05,             3.8885e-05,             3.8885e-05
                     52,                0.33281,                0.43513,                0.03622,                0.97932,                0.95637,                0.96672,                0.77721,                0.24085,                0.34411,                0.03089,             3.8123e-05,             3.8123e-05,             3.8123e-05
                     53,                0.33396,                 0.4363,                0.03652,                0.97878,                0.95826,                0.96792,                0.77665,                0.23996,                0.34298,                0.03063,              3.736e-05,              3.736e-05,              3.736e-05
                     54,                0.33239,                0.43418,                0.03664,                0.97895,                0.95936,                0.96855,                0.77804,                0.24006,                0.33963,                0.03073,             3.6598e-05,             3.6598e-05,             3.6598e-05
                     55,                0.33468,                0.42869,                0.03635,                  0.978,                0.95836,                0.96583,                0.77411,                0.24211,                0.34489,                0.03052,             3.5836e-05,             3.5836e-05,             3.5836e-05
                     56,                0.33141,                0.42935,                 0.0364,                0.97505,                0.95796,                0.96537,                0.77513,                0.24038,                0.34462,                0.03045,             3.5073e-05,             3.5073e-05,             3.5073e-05
                     57,                0.32959,                0.43042,                0.03579,                0.98152,                0.95943,                0.96702,                0.77785,                0.23869,                0.34003,                0.03083,             3.4311e-05,             3.4311e-05,             3.4311e-05
                     58,                0.32912,                0.42555,                0.03579,                0.97939,                0.95905,                0.97049,                0.77855,                0.23839,                0.34094,                 0.0302,             3.3549e-05,             3.3549e-05,             3.3549e-05
                     59,                0.32722,                0.42302,                0.03563,                0.98129,                0.95799,                0.96818,                0.78044,                0.24078,                0.34067,                0.03049,             3.2787e-05,             3.2787e-05,             3.2787e-05
                     60,                0.33147,                0.42232,                0.03615,                0.98285,                0.95735,                0.97087,                0.78314,                0.24027,                0.33769,                0.03052,             3.2024e-05,             3.2024e-05,             3.2024e-05
                     61,                0.32786,                0.42518,                 0.0355,                0.98055,                0.95742,                0.96812,                0.77998,                0.24074,                0.34153,                0.02997,             3.1262e-05,             3.1262e-05,             3.1262e-05
                     62,                0.32676,                0.42367,                0.03549,                   0.98,                0.96246,                0.96986,                0.78242,                0.24009,                0.33901,                0.02953,               3.05e-05,               3.05e-05,               3.05e-05
